C	gamma	kernel	rank	test_mean	test_sd	train_mean	train_sd	fit_time_mean	fit_time_sd	score_time_mean	score_time_sd
10	0.1	rbf	9	0.7972430894901904	0.003619328229985065	0.8451754202859173	0.00139775669879115	5.3630207777023315	0.05547354667897526	0.5360090732574463	0.002457394470644486
10	0.055	rbf	1	0.8005980599518635	0.004252580532049981	0.8273794607348403	0.0009700459477185371	4.858803232510884	0.05322302948269545	0.5405656099319458	0.00496361136758441
10	0.01	rbf	16	0.7919918313762673	0.007047222545164613	0.7982494084848039	0.0018733416627119144	4.198558886845906	0.04379875078955135	0.5965921878814697	0.006065054790467928
10	0.0055	rbf	19	0.7896579388811903	0.009217184254053374	0.7939024834137047	0.002027030722892916	4.206051309903462	0.027567654595893405	0.625439445177714	0.0033494432608718355
10	0.001	rbf	24	0.7740500328203632	0.009486428464894187	0.7751146237742935	0.0023015166234689375	4.56921108563741	0.05238708666412101	0.7000588575998942	0.007124896091711142
100	0.1	rbf	21	0.7846254831886806	0.002237346753596699	0.8876814487929491	0.0004696527326825327	11.972598274548849	0.1126055495257661	0.5215098063151041	0.003956989383268322
100	0.055	rbf	12	0.7938151848880461	0.00557003526775967	0.854336008939579	0.0012834273382489319	10.255854646364847	0.18330577495337147	0.5179731845855713	0.0021445351215765448
100	0.01	rbf	11	0.7968784187878346	0.003949878792250442	0.8108817993297494	0.0010591822920257054	6.232449173927307	0.07941015404518824	0.5564824740091959	0.0039310445601845505
100	0.0055	rbf	13	0.7934505141856903	0.005393066618607292	0.8033111007081092	0.0009604095545167348	5.566608230272929	0.06274563314822137	0.5749891996383667	0.004435730233840597
100	0.001	rbf	20	0.787178178105171	0.009587947562038512	0.7893368944352058	0.0015458726597181362	4.814698855082194	0.09237099592045128	0.6504430770874023	0.003444270714586701
500	0.1	rbf	25	0.7719349427466997	0.003288622189073685	0.9193786508767275	0.0005447615364230376	30.702547748883564	1.1827910126779457	0.5079618295033773	0.0027947953396436007
500	0.055	rbf	22	0.7840420100649114	0.003068584157349812	0.8796295195308789	0.000528080449327672	26.387399315834045	0.5663975595814377	0.5101766586303711	0.005399877281444233
500	0.01	rbf	5	0.7995769819852673	0.003623880619915593	0.8208007732741748	0.0011878107539365983	12.082143108050028	0.2490157389260995	0.5358966588973999	0.0043490025198806535
500	0.0055	rbf	10	0.7970972212092481	0.0038559380702530587	0.8111298088209145	0.0005784210069947931	9.222686926523844	0.121919539300532	0.5518132845560709	0.0036451916612340084
500	0.001	rbf	18	0.7904602144263729	0.00866479554663878	0.7944713690807834	0.002086777822505282	6.02703058719635	0.0805633394484319	0.614621639251709	0.006548305752531123
1000	0.1	rbf	28	0.7677047625993728	0.00584384201096539	0.9319816016488706	0.0004641798202487304	49.57793899377187	2.1007985879436957	0.503488302230835	0.004687248267500943
1000	0.055	rbf	23	0.7817081175698345	0.005032680813661219	0.8918386610413361	0.000534851059799377	45.116143107414246	1.2836788377874215	0.5045977433522543	0.0058535194808813215
1000	0.01	rbf	3	0.7998687185471519	0.002220634621656257	0.8248996952384196	0.0012983713180643656	18.000879923502605	0.3187179929934918	0.5257182121276855	0.004126766439293118
1000	0.0055	rbf	6	0.7992123112829115	0.0032106819370651962	0.8156808929033912	0.0014032564823794197	13.109088142712912	0.179555605678589	0.5470414559046427	0.005634059777959644
1000	0.001	rbf	17	0.7911166216906134	0.0067401749414807005	0.7967907379880432	0.0016771959030171114	7.300305287043254	0.1005249755763511	0.5961871147155762	0.005684202821339324
5000	0.1	rbf	29	0.7537014076289111	0.005419116346200017	0.9588943261678987	0.00047506892079145343	141.8354602654775	6.144687242549039	0.4849783976872762	0.004485703290471553
5000	0.055	rbf	26	0.7709867989205748	0.0050191447599177265	0.9198454762070263	0.0008684328547935886	162.7034543355306	7.171578173550291	0.4882892370223999	0.004597324522107338
5000	0.01	rbf	7	0.7986288381591423	0.0033670662525861644	0.8366421825001121	0.0007139338938425121	60.57896856466929	1.5626696901271873	0.5119417111078898	0.0054436882387680005
5000	0.0055	rbf	2	0.7999416526876231	0.0028063033201041233	0.8233243356456921	0.0010668707260472446	39.18272201220194	1.2350308330518205	0.5237166484196981	0.0069238519794105075
5000	0.001	rbf	14	0.7931587776238057	0.005797691396296522	0.802494259162155	0.0013616407042798399	13.436398029327393	0.23752896049007297	0.5634551048278809	0.003385306168663658
5500	0.1	rbf	30	0.7526073955218437	0.004940716098806808	0.9602946680744334	0.0005562849975221362	152.9787938197454	6.586605769625078	0.4767978986104329	0.0027834516905219458
5500	0.055	rbf	27	0.7702574575158632	0.005189963718061044	0.9214062402430906	0.000648445577111933	173.12182625134787	5.900044242781099	0.4848031997680664	0.0035052562074651223
5500	0.01	rbf	7	0.7986288381591423	0.003601326254923747	0.837677837315206	0.0007354929742071445	66.39702379703522	1.225454596633804	0.5066559314727783	0.0015313346875010041
5500	0.0055	rbf	4	0.7997228502662096	0.003039670745418895	0.8240245200053845	0.0011191317267751392	42.23182980219523	0.9013158780679551	0.5199731588363647	0.0013513008177625937
5500	0.001	rbf	14	0.7931587776238057	0.005587871916402973	0.8026546851258907	0.0015069627573756743	14.791805982589722	0.29850592056494313	0.5614819924036661	0.0031945501568357224
